鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
楠梓區,房地(土地+建物)+車位,高雄市楠梓區加昌路751~780號,4.8,商,,,1090102,土地1建物1車位1,十一層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850705,60.56999999999999,1,1,1,有,有,2700000,44577,坡道機械,0.0,0,,RPROMLNJKHPFFEE28CA
楠梓區,房地(土地+建物),高雄市楠梓區大學六十街179巷1~30號,164.37,住,,,1081216,土地2建物1車位0,全,四層,透天厝,見其它登記事項,見其它登記事項,1071101,337.15,6,2,5,有,有,22280000,66083,,0.0,0,有電梯。權利人共二人。,RPTNMLKKKHPFFEE18CA
左營區,房地(土地+建物)+車位,高雄市左營區孟子路511~540號,15.78,住,,,1081216,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0930519,103.14,2,2,1,有,有,6550000,63506,坡道平面,0.0,0,,RPXOMLRJKHPFFEE66CA
楠梓區,房地(土地+建物),高雄市楠梓區常德路301~330號,21.42,住,,,1090109,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840919,120.35,3,2,2,有,有,4200000,34898,,0.0,0,,RPVPMLLKKHPFFEE68CA
左營區,房地(土地+建物)+車位,高雄市左營區大中二路301~330號,11.36,住,,,1081102,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870811,169.52,3,2,2,有,有,7000000,41293,坡道平面,0.0,0,,RPWPMLOKKHPFFEE09CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區旗楠路511~540號,25.7,住,,,1081127,土地1建物1車位1,一層，二層，夾層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820511,137.17,2,2,2,有,有,5400000,39367,坡道機械,0.0,0,含增建或未登記建物。;附家電傢俱。賣方已相當減價出售予買方，買方同意免除賣方物之瑕疵擔保責任。,RPTOMLMKKHPFFEE48CA
橋頭區,房地(土地+建物)+車位,高雄市橋頭區經武路31~60號,17.04,商,,,1081120,土地1建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071220,172.0,3,1,2,有,有,8480000,52531,坡道平面,26.18,820000,,RPWNMLNJKHPFFFE78CA
梓官區,房地(土地+建物),高雄市梓官區大舍西路20巷1~30號,76.5,,一般農業區,甲種建築用地,1081215,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0650520,92.6,4,2,3,有,無,3200000,34557,,0.0,0,,RPPNMLPLKHPFFFE48CA
燕巢區,土地,代天府段451~480地號,1977.01,其他,,,1081217,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36689000,18558,,0.0,0,因細部計畫尚未完成無法依照變更後之用途使用,RPTNMLQLKHPFFFE98CA
燕巢區,土地,代天府段511~540地號,1551.11,其他,,,1081209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27346000,17630,,0.0,0,因細部計畫尚未完成無法依照變更後之用途使用,RPVNMLQLKHPFFFE56CA
梓官區,房地(土地+建物),高雄市梓官區嘉展路394巷1~30號,82.71,,鄉村區,乙種建築用地,1081124,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810602,117.95,6,2,3,有,無,4500000,38152,,0.0,0,含增建或未登記建物。;,RPRPMLKMJHPFFFE38CA
鳳山區,房地(土地+建物),高雄市鳳山區文雅街56巷1~30號,66.0,住,,,1081226,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0770309,211.45,3,2,4,有,無,7200000,34051,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLLMJHPFFGE38CA
鳳山區,土地,正義段61~90地號,85.72,住,,,1081227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3702888,43197,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLQLKHPFFGE56CA
鳳山區,房地(土地+建物),高雄市鳳山區過雄街130巷31~60號,60.73,住,,,1081230,土地1建物1車位0,全,四層,透天厝,見使用執照,鋼筋混凝土造,0810108,170.31,4,2,3,有,無,5500000,32294,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLKKKHPFFGE48CA
內門區,房地(土地+建物),高雄市內門區中正路151~180號,118.48,,鄉村區,乙種建築用地,1090106,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,0951225,134.79,3,2,2,有,無,5500000,40804,,0.0,0,,RPRNMLNJKHPFFHE48CA
內門區,房地(土地+建物),高雄市內門區中正路151~180號,118.48,,鄉村區,乙種建築用地,1090106,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,,136.07,3,2,2,有,無,5500000,40420,,0.0,0,,RPTNMLNJKHPFFHE68CA
鳳山區,房地(土地+建物),高雄市鳳山區濱山街1~30號,9.85,住,,,1081222,土地2建物2車位0,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0921120,76.65,2,1,1,有,無,4230000,55186,,0.0,0,,RPWNMLPKKHPFFGE56CA
仁武區,房地(土地+建物),高雄市仁武區中華路361~390號,101.0,住,,,1081101,土地1建物1車位0,一層，二層，三層，見其他登記事項,三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1031209,201.53,3,2,3,有,無,16000000,79393,,0.0,0,,RPUOMLOKKHPFFIE56CA
大社區,土地,翠屏段1231~1260地號,181.0,住,,,1081209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5478000,30265,,0.0,0,,RPOOMLNJKHPFFIE38CA
