鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南屯區,土地,春社段121~150地號,753.17,農,,,1050704,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5617000,7458,,0.0,0,受債權債務影響或債務抵償之交易。;急買急賣。;違規使用罰款青理廢棄物,RPUQMLKKKHPFFCB08CA
南屯區,土地,春社段121~150地號,177.5,農,,,1050704,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1365000,7690,,0.0,0,受債權債務影響或債務抵償之交易。;急買急賣。;違規使用罰款清理廢棄物,RPVQMLKKKHPFFCB18CA
西屯區,房地(土地+建物),臺中市西屯區至善路121巷1~30號,3.73,住,,,1081022,土地1建物1車位0,九層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821014,28.259999999999998,1,0,1,有,有,2100000,74310,,0.0,0,,RPQNMLLKKHPFFCB47CA
南屯區,土地,田心段1021~1050地號,14.08,其他,,,1090103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,980000,69602,,0.0,0,包含公共設施保留地之交易。;,RPTOMLLKKHPFFCB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區市政南一路241~270號,48.44,住,,,1081216,土地1建物1車位2,十六層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070331,287.07,3,2,3,有,有,39730000,161705,坡道平面,63.02,3500000,,RPOQMLKKKHPFFCB47CA
西屯區,土地,福林段121~150地號,37.21,其他,,,1081227,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1563500,42018,,0.0,0,包含公共設施保留地之交易。;,RPORMLMKKHPFFCB77CA
南屯區,房地(土地+建物)+車位,臺中市南屯區東興路一段361~390號,85.94,住,,,1081206,土地2建物2車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0851210,269.98,4,2,3,有,有,24000000,88899,坡道平面,0.0,0,,RPPNMLNKKHPFFCB57CA
西屯區,土地,何安段901~930地號,179.2,商,,,1081129,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33980000,189621,,0.0,0,,RPPRMLNKKHPFFCB97CA
西屯區,房地(土地+建物),臺中市西屯區上石路151~180號,5.15,住,,,1090106,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850509,60.14,1,1,1,有,無,3500000,58198,,0.0,0,,RPOOMLOKKHPFFCB67CA
西屯區,土地,國安段121~150地號,121.81,其他,,,1081227,土地26建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2396450,19674,,0.0,0,包含公共設施保留地之交易。;,RPPQMLPKKHPFFCB08CA
南屯區,土地,南屯段91~120地號,1948.0,住,,,1081119,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,441960000,226879,,0.0,0,,RPPNMLQKKHPFFCB87CA
南屯區,房地(土地+建物),臺中市南屯區大觀路151~180號,44.12,商,,,1081202,土地1建物1車位0,全,一層,透天厝,見其他登記事項,加強磚造,0880212,16.79,0,0,0,無,無,15600000,929124,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLKLKHPFFCB47CA
豐原區,土地,新水源段61~90地號,10.41,工,,,1090108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,86455,,0.0,0,,RPPQMLLLJHPFFDB77CA
后里區,土地,牛稠坑段31~60地號,432.0,,山坡地保育區,農牧用地,1081021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2090880,4840,,0.0,0,,RPPNMLMLJHPFFDB57CA
后里區,土地,牛稠坑段31~60地號,478.0,,山坡地保育區,農牧用地,1081021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2313520,4840,,0.0,0,,RPQNMLMLJHPFFDB67CA
神岡區,房地(土地+建物),臺中市神岡區豐洲路901~930號,165.27,農,,,1090104,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040107,242.0,4,3,4,有,無,22000000,90909,,0.0,0,含增建或未登記建物。;,RPOPMLMLJHPFFDB67CA
