鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
林口區,房地(土地+建物)+車位,新北市林口區仁愛路二段241~270號,15.03,商,,,1081229,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940510,139.56,3,2,2,有,有,10500000,79766,坡道平面,26.73,1500000,含增建或未登記建物。,RPTSNLKMJHPFFBF78DA
新店區,房地(土地+建物),新北市新店區新店區安康路三段525巷61~90號,130.28,住,,,1081204,土地4建物1車位0,全,二層,透天厝,住家用,加強磚造,0691224,137.2,4,1,2,有,無,8200000,59767,,0.0,0,,RPVNMLRJKHPFFCF98DA
汐止區,房地(土地+建物),新北市汐止區建成路160巷1~30號,10.45,住,,,1081219,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851116,71.36,2,1,1,有,有,7050000,98795,,0.0,0,含增建或未登記建物。,RPVPMLMLJHPFFDF88DA
汐止區,房地(土地+建物),新北市汐止區新臺五路一段121~150號,17.55,住,,,1081214,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040709,116.12,2,2,2,有,有,14900000,128316,,0.0,0,,RPWNMLKMJHPFFDF68DA
汐止區,房地(土地+建物)+車位,新北市汐止區忠孝東路481~510號,15.3,住,,,1081221,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050530,110.16,2,1,1,有,有,9650000,105750,坡道機械,31.2,1300000,,RPXNMLKMJHPFFDF78DA
汐止區,房地(土地+建物)+車位,新北市汐止區伯爵街97巷1~30號,66.19,,山坡地保育區,丙種建築用地,1081210,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890929,189.7,4,2,2,有,有,10300000,54296,坡道平面,0.0,0,含增建或未登記建物。,RPUNMLPJKHPFFDF78DA
汐止區,房地(土地+建物),新北市汐止區福德一路201巷31~60號,16.08,住,,,1080925,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830204,106.75,2,2,2,有,有,7055000,66095,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPPMLQJKHPFFDF58DA
三重區,房地(土地+建物),新北市三重區三和路四段400巷1~30號,23.4,住,,,1081231,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0700126,80.94,3,2,1,有,無,8300000,102545,,0.0,0,,RPSNMLMLJHPFFGF68DA
三重區,房地(土地+建物),新北市三重區中正北路165巷1~30號,12.74,住,,,1081214,土地1建物1車位0,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970201,84.06,2,2,1,有,有,10100000,120152,,0.0,0,,RPTRMLLMJHPFFGF56DA
雙溪區,土地,雙平段1~30地號,3666.84,農,,,1081217,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4991490,1361,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLMLJHPFFFF28DA
三重區,房地(土地+建物),新北市三重區五福街31~60號,26.0,住,,,1080925,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700902,103.0,3,2,1,有,無,7200000,69903,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPRPMLRJKHPFFGF56DA
鶯歌區,土地,永吉段91~120地號,998.48,其他,,,1090103,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28020000,28063,,0.0,0,包含公共設施保留地之交易。;,RPQNMLMLJHPFFIF68DA
樹林區,房地(土地+建物),新北市樹林區新興街19巷34弄1~30號,20.15,工,,,1090106,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0820116,75.0,3,1,1,有,有,4070000,54267,,0.0,0,,RPPNMLKMJHPFFIF48DA
樹林區,房地(土地+建物)+車位,新北市樹林區學府路301~330號,23.65,住,,,1081208,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980407,181.8,4,2,2,有,有,14200000,82868,坡道平面,26.13,1300000,含增建或未登記建物。,RPQOMLQJKHPFFIF09DA
三峽區,土地,五寮段詩朗小段121~150地號,2389.0,,森林區,農牧用地,1081125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22280000,9326,,0.0,0,含增建或未登記建物。;含林務局租約。,RPWOMLTKKHPFFIF47DA
板橋區,房地(土地+建物),新北市板橋區中正路250巷1~30號,15.11,住,,,1081223,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0640915,29.61,1,1,1,有,無,2209933,74635,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVRMLMLJHPFFAF88EA
板橋區,土地,府中段1861~1890地號,9.0,住,,,1090106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1888020,209780,,0.0,0,向政府機關承購之案件。;,RPTNMLLMJHPFFAF28EA
板橋區,房地(土地+建物)+車位,新北市板橋區成都街1~30號,18.77,住,,,1090105,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020508,205.07,3,2,2,有,有,31000000,151168,坡道平面,36.77,0,含增建或未登記建物。;,RPTNMLQLKHPFFAF78EA
土城區,房地(土地+建物)+車位,新北市土城區學府路一段181~210號,15.03,住,,,1081218,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830607,150.48,3,2,2,有,有,15300000,101675,升降平面,0.0,0,,RPWOMLQLKHPFFAF56EA
新莊區,房地(土地+建物),新北市新莊區中港一街1~30號,24.11,住,,,1081218,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620630,74.93,2,2,1,有,無,6300000,84078,,0.0,0,,RPROMLMLJHPFFBF28EA
新店區,土地,青潭段楣子寮小段91~120地號,359.5,,山坡地保育區,林業用地,1081218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,635000,1766,,0.0,0,政府標售案件。,RPPPMLLLJHPFFCF18EA
石門區,土地,下角段石門小段1~30地號,14.57,其他,,,1090114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,188888,12964,,0.0,0,,RPXNPLLLJHPFFEF66EA
淡水區,房地(土地+建物)+車位,新北市淡水區北新路69巷1~30號,41.95,住,,,1081226,土地1建物1車位2,八層，九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951012,290.75,3,3,3,有,有,17000000,58469,坡道平面,76.14,0,,RPUNMLMLJHPFFEF78EA
淡水區,房地(土地+建物),新北市淡水區中山路72巷6弄1~30號,25.64,住,,,1090114,土地5建物1車位0,四層，走廊,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670601,92.13,3,1,1,有,無,4800000,52100,,0.0,0,,RPWNMLMLJHPFFEF98EA
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段189巷121~150號,25.97,住,,,1090104,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990615,153.4,3,1,2,有,有,13800000,89961,坡道機械,17.4,0,,RPPNMLLLKHPFFEF28EA
三重區,車位,新北市三重區重新路四段151~180號,0.0,,,,1090113,土地0建物0車位1,,,其他,,,,38.26,0,0,0,有,有,2000000,,坡道平面,38.26,2000000,,RPVNMLNJKHPFFGF09EA
三重區,房地(土地+建物)+車位,新北市三重區重安街91~120號,36.44,住,,,1081206,土地1建物1車位1,六層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0791212,352.87,0,0,0,無,有,33200000,94086,升降機械,17.34,0,,RPSNMLOKKHPFFGF98EA
三峽區,土地,後埔段211~240地號,980.0,,山坡地保育區,農牧用地,1090114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200109,2245,,0.0,0,地籍清理標售案件。,RPRNNLLLJHPFFIF88EA
永和區,房地(土地+建物),新北市永和區環河東路一段31~60號,8.92,住,,,1081112,土地3建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081023,87.55000000000001,2,1,1,有,有,18880000,215648,,0.0,0,,RPSNMLPJKHPFFHF09EA
永和區,房地(土地+建物),新北市永和區環河東路一段31~60號,9.74,住,,,1080624,土地3建物1車位0,六層,十五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1081023,95.69999999999999,1,1,1,有,有,19580000,204598,,0.0,0,,RPRNMLPJKHPFFHF98EA
中和區,房地(土地+建物),新北市中和區中山路二段31~60號,7.8,商,,,1081231,土地2建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880906,74.67999999999999,2,1,1,有,有,6000000,80343,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLMLJHPFFHF09EA
中和區,房地(土地+建物),新北市中和區信義街31~60號,16.42,住,,,1081230,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681121,63.54,5,0,5,有,無,7000000,110167,,0.0,0,,RPQNMLKMJHPFFHF58EA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段361~390號,5.65,商,,,1040515,土地1建物1車位1,二十一層,二十九層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1080822,77.88,0,0,0,無,有,5950000,81664,坡道機械,12.98,650000,,RPRPMLQLKHPFFEF56EA
汐止區,房地(土地+建物),新北市汐止區樟樹一路145巷1~30號,16.61,住,,,1081231,土地2建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840414,88.51,2,2,2,有,有,7380000,83380,,0.0,0,,RPOOMLRKKHPFFDF68EA
汐止區,車位,新北市汐止區樟樹一路145巷1~30號,0.36,住,,,1081231,土地0建物0車位1,地下一層，地下二層,十七層,其他,見使用執照,鋼筋混凝土造,0840414,41.84,0,0,0,有,有,1350000,,坡道平面,41.84,1350000,單獨車位交易。;,RPUOMLRKKHPFFDF66EA
